road,num_properties,insulated_roof,insulated_walls,insulated_windows,insulated_floor,avg_CO2_emissions,avg_energy_consumption,avg_energy_efficiency,good_rating
 Addington Road,107,31,14,88,5,49,281,60,74
 Addison Road,89,10,16,87,8,50,280,60,75
 Albany Road,86,8,0,78,0,62,353,56,65
 Albert Road,56,29,30,48,18,50,289,54,45
 Alexandra Road,92,51,25,68,11,72,424,50,50
 Alpine Street,106,7,1,80,1,54,313,59,75
 Ambrook Road,66,23,64,95,3,46,254,62,74
 Amersham Road,73,15,19,97,38,38,220,69,92
 Amity Road,136,7,1,86,0,55,312,58,80
 Armour Road,65,26,12,77,20,49,277,60,66
 Ashampstead Road,82,13,72,100,1,41,226,67,90
 Audley Street,81,9,2,64,6,59,334,56,65
 Barnsdale Road,79,19,16,95,0,49,274,62,80
 Basingstoke Road,246,17,20,88,15,51,289,58,65
 Bath Road,51,35,24,78,31,59,343,54,55
 Beecham Road,126,9,1,76,0,56,312,55,56
 Belmont Road,147,8,0,84,1,53,303,59,82
 Berkeley Avenue,93,55,59,94,55,30,166,72,86
 Blandford Road,55,11,55,96,0,48,270,62,84
 Blenheim Gardens,126,2,1,76,2,57,326,59,78
 Blenheim Road,185,2,2,75,3,54,300,56,63
 Branagh Court,51,98,4,100,84,41,255,68,98
 Briants Avenue,52,8,6,83,0,58,332,55,69
 Brighton Road,75,4,3,75,4,53,301,58,71
 Brixham Road,66,3,65,91,0,49,274,63,83
 Brunel Road,68,10,78,97,0,40,226,68,96
 Brunswick Street,65,22,14,71,2,53,298,61,80
 Bulmershe Road,51,31,14,65,0,56,328,53,53
 Callington Road,69,9,62,96,0,46,253,64,86
 Cardiff Road,83,10,0,84,4,53,301,59,71
 Cardigan Road,94,5,0,65,0,55,315,58,74
 Carnarvon Road,58,0,0,52,0,53,312,56,60
 Catherine Street,66,6,0,71,3,55,311,57,74
 Champlain Street,95,100,91,100,100,14,77,85,100
 Chester Street,102,21,14,80,3,55,312,58,69
 Chiltern Road,72,4,4,82,0,56,315,55,62
 Cholmeley Road,97,8,1,69,0,55,316,56,63
 Cintra Close,58,7,0,100,47,33,187,70,100
 Circuit Lane,68,12,40,91,7,48,272,61,75
 Clonmel Close,121,3,2,100,45,35,201,72,100
 Cockney Hill,65,15,58,82,5,49,271,57,65
 Coley Avenue,122,61,64,94,53,29,163,74,89
 Collis Street,58,9,0,83,2,58,330,56,67
 Combe Road,60,2,15,92,0,43,244,65,92
 Connaught Road,97,9,8,75,1,54,316,56,66
 Corwen Road,110,37,53,96,0,45,251,66,92
 Coventry Road,88,5,0,74,1,59,335,57,70
 Cranbury Road,107,6,3,77,0,57,325,56,74
 Crescent Road,95,14,13,78,7,51,294,57,63
 Cressingham Road,85,7,52,87,2,48,271,61,75
 Cromwell Road,63,10,5,68,3,60,341,56,68
 Cumberland Road,113,17,1,81,2,55,312,58,75
 Curzon Street,109,6,5,83,17,46,254,62,81
 De Beauvoir Road,124,1,2,77,1,47,272,61,84
 Dee Road,55,22,75,98,0,45,252,64,85
 Devonshire Park,51,18,2,92,25,42,231,63,80
 Donnington Gardens,129,2,1,77,0,52,296,58,65
 Donnington Road,92,7,2,67,1,49,282,59,71
 Dulnan Close,67,16,18,97,7,45,250,67,93
 Eastern Avenue,88,32,12,61,6,65,376,52,47
 Eddleston Way,51,100,100,100,100,13,72,86,100
 Edgehill Street,112,4,4,71,0,58,333,56,70
 Elgar Road,143,1,1,77,2,56,324,55,64
 Elliots Way,58,17,0,100,50,35,195,71,100
 Elm Park,150,49,0,99,47,48,285,69,99
 Elm Park Road,136,15,1,74,4,56,318,58,71
 Elvaston Way,84,14,11,94,0,46,255,62,87
 Erleigh Road,78,41,6,77,8,53,312,56,58
 Essex Street,60,2,0,70,0,56,322,56,65
 Field Road,56,18,4,64,0,53,307,58,71
 Field View,55,18,2,95,0,51,283,60,65
 Filey Road,60,3,0,70,0,60,339,55,67
 Foxhays Road,52,15,67,94,0,46,253,63,81
 Foxhill Road,120,3,2,75,0,57,327,58,74
 Gainsborough Road,81,19,60,100,4,41,228,65,91
 Galsworthy Drive,85,6,46,98,0,48,267,60,74
 George Street,77,29,1,79,1,56,319,59,73
 Goldsmid Road,53,62,9,91,25,49,285,65,77
 Gosbrook Road,193,12,4,75,3,55,310,58,75
 Granby Gardens,61,2,0,92,0,55,315,58,72
 Grange Avenue,142,2,0,87,0,45,260,62,85
 Granville Road,54,80,85,98,33,52,310,70,89
 Greenfields Road,52,12,50,92,0,55,303,59,69
 Grovelands Road,84,5,8,88,0,54,300,57,67
 Hamilton Road,78,13,22,58,4,54,303,53,46
 Hartland Road,111,12,65,95,3,49,273,61,77
 Hatford Road,76,26,62,99,0,45,252,63,83
 Hatherley Road,118,6,0,73,3,52,304,58,71
 Helmsdale Close,53,34,36,92,15,38,216,70,96
