road,num_properties,properties_roof_insulation,properties_walls_insulation,properties_windows_insulation,properties_floor_insulation,perc_properties_roof_insulation,perc_properties_walls_insulation,perc_properties_windows_insulation,perc_properties_floor_insulation,avg_CO2_emissions,avg_energy_consumption,avg_energy_efficiency,properties_A_rating,properties_B_rating,properties_C_rating,properties_D_rating,properties_E_rating,properties_F_rating,properties_G_rating,perc_properties_A_rating,perc_properties_B_rating,perc_properties_C_rating,perc_properties_D_rating,perc_properties_E_rating,perc_properties_F_rating,perc_properties_G_rating
 Abbotsmead Place (RG4),32,30,0,32,15,94,0,100,47,35,211,74,0,2,29,1,0,0,0,0,6,91,3,0,0,0
 Abbottsleigh Gardens (RG4),13,0,1,13,12,0,8,100,92,30,172,73,0,0,13,0,0,0,0,0,0,100,0,0,0,0
 Aberaman (RG4),22,0,7,22,8,0,32,100,36,41,227,62,0,0,0,21,1,0,0,0,0,0,95,5,0,0
 Aberford Close (RG30),7,0,4,6,0,0,57,86,0,45,248,62,0,1,1,3,2,0,0,0,14,14,43,29,0,0
 Abingdon Drive (RG4),25,1,13,24,0,4,52,96,0,44,247,63,0,2,3,15,5,0,0,0,8,12,60,20,0,0
 Acre House (RG2),3,3,3,3,3,100,100,100,100,24,141,74,0,0,3,0,0,0,0,0,0,100,0,0,0,0
 Addington Road (RG1),107,33,15,94,5,31,14,88,5,49,281,60,0,0,24,55,23,5,0,0,0,22,51,21,5,0
 Addison Road (RG1),89,9,14,77,7,10,16,87,8,50,280,60,0,5,15,47,20,1,1,0,6,17,53,22,1,1
 Adelaide Road (RG6),18,1,2,14,1,6,11,78,6,53,300,59,0,0,3,10,5,0,0,0,0,17,56,28,0,0
 Admirals Court (RG1),1,1,0,1,0,100,0,100,0,71,419,73,0,0,1,0,0,0,0,0,0,100,0,0,0,0
 Ainsdale Crescent (RG30),12,0,9,11,0,0,75,92,0,49,278,62,0,0,3,8,1,0,0,0,0,25,67,8,0,0
 Alan Place (RG30),20,20,15,20,0,100,75,100,0,30,173,74,0,0,19,1,0,0,0,0,0,95,5,0,0,0
 Alandale Close (RG2),24,4,13,24,0,17,54,100,0,50,276,60,0,0,3,16,4,1,0,0,0,12,67,17,4,0
 Albany Gardens (RG4),3,0,0,3,3,0,0,100,100,28,158,75,0,0,3,0,0,0,0,0,0,100,0,0,0,0
 Albany Road (RG30),86,7,0,67,0,8,0,78,0,62,353,56,0,0,9,47,20,8,2,0,0,10,55,23,9,2
 Albert Illsley Close (RG31),6,2,0,6,3,33,0,100,50,39,219,64,0,0,0,6,0,0,0,0,0,0,100,0,0,0
 Albert Road (RG4),56,16,17,27,10,29,30,48,18,50,289,54,0,9,1,15,21,9,1,0,16,2,27,38,16,2
 Albion Terrace (RG1),19,19,0,0,0,100,0,0,0,47,274,68,0,0,10,9,0,0,0,0,0,53,47,0,0,0
 Aldeburgh Close (RG4),1,0,0,1,0,0,0,100,0,70,385,41,0,0,0,0,1,0,0,0,0,0,0,100,0,0
 Aldenham Close (RG4),5,1,2,5,0,20,40,100,0,42,233,63,0,0,1,3,1,0,0,0,0,20,60,20,0,0
 Aldworth Close (RG30),11,2,7,8,2,18,64,73,18,44,248,65,0,2,2,6,1,0,0,0,18,18,55,9,0,0
 Aldworth Rise (RG1),3,3,3,3,3,100,100,100,100,15,84,84,0,3,0,0,0,0,0,0,100,0,0,0,0,0
 Alexandra Road (RG1),92,47,23,63,10,51,25,68,11,72,424,50,0,0,4,42,27,16,3,0,0,4,46,29,17,3
 Alford Close (RG30),3,0,2,3,0,0,67,100,0,37,206,68,0,0,1,2,0,0,0,0,0,33,67,0,0,0
 Alfred Street (RG1),15,15,15,15,13,100,100,100,87,16,90,85,0,14,1,0,0,0,0,0,93,7,0,0,0,0
 All Hallows Road (RG4),26,8,14,21,3,31,54,81,12,47,271,61,0,3,2,14,5,2,0,0,12,8,54,19,8,0
 All Saints Court (RG1),1,0,0,1,0,0,0,100,0,32,184,70,0,0,1,0,0,0,0,0,0,100,0,0,0,0
 Allcroft Road (RG1),23,2,13,15,2,9,57,65,9,50,276,57,0,0,4,12,6,1,0,0,0,17,52,26,4,0
 Alleyne Close (RG1),10,10,10,10,10,100,100,100,100,8,42,86,0,10,0,0,0,0,0,0,100,0,0,0,0,0
 Alma Street (RG30),18,0,0,14,0,0,0,78,0,55,312,59,0,0,0,14,4,0,0,0,0,0,78,22,0,0
 Almond Drive (RG4),6,1,4,6,0,17,67,100,0,49,276,58,0,0,0,4,2,0,0,0,0,0,67,33,0,0
 Alphington Road (RG2),18,1,0,18,2,6,0,100,11,39,218,69,0,0,12,6,0,0,0,0,0,67,33,0,0,0
 Alpine Street (RG1),106,7,1,85,1,7,1,80,1,54,313,59,0,0,13,67,24,1,1,0,0,12,63,23,1,1
 Alston Walk (RG4),39,8,19,38,0,21,49,97,0,38,210,69,0,2,17,20,0,0,0,0,5,44,51,0,0,0
 Amblecote Road (RG30),34,13,23,31,1,38,68,91,3,53,300,63,0,0,11,17,6,0,0,0,0,32,50,18,0,0
 Ambrook Road (RG2),66,15,42,63,2,23,64,95,3,46,254,62,0,1,16,32,17,0,0,0,2,24,48,26,0,0
 Amersham Road (RG4),73,11,14,71,28,15,19,97,38,38,220,69,0,1,48,18,4,2,0,0,1,66,25,5,3,0
 Amethyst Lane (RG30),2,0,0,2,0,0,0,100,0,39,213,67,0,0,1,1,0,0,0,0,0,50,50,0,0,0
